liturgical_date,calendar_date,first_reading,psalm_reading,second_reading,gospel_reading
Proper 13 (18),2023-08-06,Genesis 32:22-31 and Psalm 17:1-7; 15,Isaiah 55:1-5 and Psalm 145:8-9; 14-21,Romans 9:1-5,Matthew 14:13-21
Proper 14 (19),2023-08-13,Genesis 37:1-4; 12-28 and Psalm 105: 1-6; 16-22; 45b,1 Kings 19:9-18 and Psalm 85:8-13,Romans 10:5-15,Matthew 14:22-33
Proper 15 (20),2023-08-20,Genesis 45:1-15 and Psalm 133,Isaiah 56:1; 6-8 and Psalm 67,Romans 11:1-2a; 29-32,Matthew 15: (10-20); 21-28
Proper 16 (21),2023-08-27,Exodus 1:8-2:10 and Psalm 124,Isaiah 51:1-6 and Psalm 138,Romans 12:1-8,Matthew 16:13-20
Proper 17 (22),2023-09-03,Exodus 3:1-15 and Psalm 105:1-6; 23-26; 45b,Jeremiah 15:15-21 and Psalm 26:1-8,Romans 12:9-21,Matthew 16:21-28
Proper 18 (23),2023-09-10,Exodus 12:1-14 and Psalm 149,Ezekiel 33:7-11 and Psalm 119:33-40,Romans 13:8-14,Matthew 18:15-20
Holy Cross,2023-09-14,Numbers 21:4b-9 and Psalm 98:1-5 or Psalm 78:1-2; 34-38,,1 Corinthians 1:18-24,John 3:13-17
Proper 19 (24),2023-09-17,Exodus 14:19-31 and Psalm 114 or Exodus 15:1b-11; 20-21,Genesis 50:15-21 and Psalm 103:(1-7); 8-13,Romans 14:1-12,Matthew 18:21-35
Proper 20 (25),2023-09-24,Exodus 16:2-15 and Psalm 105:1-6; 37-45,Jonah 3:10-4:11 and Psalm 145:1-8,Philippians 1:21-30,Matthew 20:1-16
Proper 21 (26),2023-10-01,Exodus 17:1-7 and Psalm 78:1-4; 12-16,Ezekiel 18:1-4; 25-32 and Psalm 25:1-9,Philippians 2:1-13,Matthew 21:23-32
Proper 22 (27),2023-10-08,Exodus 20:1-4; 7-9; 12-20 and Psalm 19,Isaiah 5:1-7 and Psalm 80:7-15,Philippians 3:4b-14,Matthew 21:33-46
Canadian Thanksgiving Day,2023-10-09,Deuteronomy 8:7-18 and Psalm 65,,2 Corinthians 9:6-15,Luke 17:11-19
Proper 23 (28),2023-10-15,Exodus 32:1-14 and Psalm 106:1-6; 19-23,Isaiah 25:1-9 and Psalm 23,Philippians 4:1-9,Matthew 22:1-14
Proper 24 (29),2023-10-22,Exodus 33:12-23 and Psalm 99,Isaiah 45:1-7 and Psalm 96:1-9; (10-13),1 Thessalonians 1:1-10,Matthew 22:15-22
Proper 25 (30),2023-10-29,Deuteronomy 34:1-12 and Psalm 90:1-6; 13-17,Leviticus 19:1-2; 15-18 and Psalm 1,1 Thessalonians 2:1-8,Matthew 22:34-46
All Saints Day,2023-11-01,Revelation 7:9-17 and Psalm 34:1-10; 22,,1 John 3:1-3,Matthew 5:1-12
Proper 26 (31),2023-11-05,Joshua 3:7-17 and Psalm 107:1-7; 33-37,Micah 3:5-12 and Psalm 43,1 Thessalonians 2:9-13,Matthew 23:1-12
Proper 27 (32),2023-11-12,Joshua 24:1-3a; 14-25 and Psalm 78:1-7,Wisdom of Solomon 6:12-16 or Amos 5:18-24 and Wisdom of Solomon 6:17-20 or Psalm 70,1 Thessalonians 4:13-18,Matthew 25:1-13
Proper 28 (33),2023-11-19,Judges 4:1-7 and Psalm 123,Zephaniah 1:7; 12-18 and Psalm 90:1-8; (9-11); 12,1 Thessalonians 5:1-11,Matthew 25:14-30
Thanksgiving Day; USA,2023-11-23,Deuteronomy 8:7-18 and Psalm 65,,2 Corinthians 9:6-15,Luke 17:11-19
Reign of Christ - Proper 29 (34),2023-11-26,Ezekiel 34:11-16; 20-24 and Psalm 100,Ezekiel 34:11-16; 20-24 and Psalm 95:1-7a,Ephesians 1:15-23,Matthew 25:31-46
